Timestamp;Latitude;Longitude
1478296918;-8.61963;-36.61324
1478296979;-8.61964;-36.61327
1478297040;-8.61964;-36.61325
1478297101;-8.61965;-36.61328
1478297363;-8.61956;-36.61332
1478297424;-8.61953;-36.61330
1478297485;-8.61953;-36.61330
1478297716;-8.61938;-36.61328
1478297777;-8.61938;-36.61327
1478297838;-8.61938;-36.61325
1478298149;-8.61938;-36.61316
1478298210;-8.61934;-36.61317
1478298271;-8.61934;-36.61311
1478298332;-8.61935;-36.61311
1478298393;-8.61939;-36.61306
1478298454;-8.61941;-36.61316
1478298515;-8.61943;-36.61314
1478298576;-8.61949;-36.61304
1478298637;-8.61955;-36.61302
1478298698;-8.61983;-36.61289
1478298759;-8.61951;-36.61306
1478298820;-8.61955;-36.61304
1478298881;-8.61956;-36.61305
1478298942;-8.61962;-36.61306
1478299003;-8.61964;-36.61308
1478299064;-8.61964;-36.61309
1478299125;-8.61965;-36.61309
1478299186;-8.61964;-36.61312
1478299247;-8.61963;-36.61311
1478299308;-8.61962;-36.61313
1478299458;-8.61963;-36.61315
1478299519;-8.61964;-36.61311
1478299580;-8.61959;-36.61315
1478299769;-8.61963;-36.61320
1478299830;-8.61965;-36.61318
1478299891;-8.61965;-36.61319
1478299979;-8.61961;-36.61327
1478300100;-8.61958;-36.61322
1478300161;-8.61958;-36.61324
1478300222;-8.61958;-36.61324
1478300283;-8.61957;-36.61322
1478300344;-8.61959;-36.61321
1478300405;-8.61956;-36.61323
1478300519;-8.61954;-36.61326
1478300580;-8.61953;-36.61327
1478300641;-8.61951;-36.61329
1478300702;-8.61949;-36.61329
1478300763;-8.61948;-36.61329
1478300824;-8.61947;-36.61325
1478300885;-8.61944;-36.61323
1478301075;-8.61947;-36.61320
1478301136;-8.61950;-36.61318
1478301197;-8.61950;-36.61319
1478301258;-8.61951;-36.61314
1478301319;-8.61951;-36.61312
1478301380;-8.61953;-36.61315
1478301749;-8.61951;-36.61324
1478301819;-8.61939;-36.61319
1478301880;-8.61948;-36.61320
1478301941;-8.61952;-36.61312
1478302002;-8.61953;-36.61311
1478302063;-8.61960;-36.61297
1478302126;-8.61956;-36.61290
1478302239;-8.61952;-36.61312
1478302300;-8.61946;-36.61303
