data_vaca;tbs;ur;tgn;tpo
10/19/16 12h59min7s;31.586;42.326;43.799;17.592
10/19/16 01h14min7s;32.227;42.496;45.373;18.231
10/19/16 01h29min7s;31.484;43.077;38.032;17.779
10/19/16 01h44min7s;32.124;40.384;45.186;17.326
10/19/16 01h59min7s;32.355;40.241;42.327;17.476
10/19/16 02h14min7s;31.484;41.250;36.987;17.091
10/19/16 02h29min7s;30.722;42.694;34.387;16.951
10/19/16 02h44min7s;30.621;43.674;36.688;17.219
10/19/16 02h59min7s;30.016;43.605;33.157;16.648
10/19/16 03h14min7s;30.621;43.542;38.504;17.171
10/19/16 03h29min7s;30.217;43.825;32.562;16.909
10/19/16 03h44min7s;29.065;47.027;29.865;16.971
10/19/16 03h59min7s;28.692;49.119;29.615;17.310
10/19/16 04h14min7s;27.431;52.924;27.308;17.310
10/19/16 04h29min7s;26.744;56.175;26.451;17.594
10/19/16 04h44min7s;25.841;59.128;25.113;17.536
10/19/16 04h59min7s;25.137;60.933;24.291;17.333
10/19/16 05h14min7s;24.436;65.571;23.737;17.783
10/19/16 05h29min7s;23.857;65.562;22.848;17.230
10/19/16 05h44min7s;23.400;66.775;22.369;17.070
10/19/16 05h59min7s;23.064;67.404;22.154;16.889
10/19/16 06h14min7s;22.776;69.641;21.772;17.101
10/19/16 06h29min7s;22.250;71.283;21.175;16.942
10/19/16 06h44min7s;21.867;72.937;20.889;16.912
10/19/16 06h59min7s;21.557;73.691;20.603;16.764
10/19/16 07h14min7s;21.246;74.239;20.365;16.573
10/19/16 07h29min7s;21.103;74.760;20.317;16.537
10/19/16 07h44min7s;21.079;75.332;20.388;16.625
10/19/16 07h59min7s;21.032;75.984;20.388;16.705
10/19/16 08h14min7s;21.032;76.472;20.436;16.799
10/19/16 08h29min7s;20.889;77.016;20.317;16.763
10/19/16 08h44min7s;20.746;77.186;20.150;16.657
10/19/16 08h59min7s;20.579;77.495;20.055;16.552
10/19/16 09h14min7s;20.484;77.332;19.912;16.429
10/19/16 09h29min7s;20.269;77.488;19.651;16.250
10/19/16 09h44min7s;20.150;77.918;19.627;16.214
10/19/16 09h59min7s;20.031;77.751;19.294;16.067
10/19/16 10h14min7s;19.698;78.193;18.771;15.824
10/19/16 10h29min7s;19.365;78.972;18.461;15.642
10/19/16 10h44min7s;19.175;79.270;18.295;15.511
10/19/16 10h59min7s;19.127;79.429;18.295;15.493
10/19/16 11h14min7s;19.127;79.569;18.319;15.518
10/19/16 11h29min7s;19.222;79.674;18.580;15.630
10/19/16 11h44min7s;19.365;79.901;18.985;15.811
10/19/16 11h59min7s;19.341;79.896;18.818;15.786
10/20/16 12h14min7s;19.222;79.815;18.533;15.656
10/20/16 12h29min7s;19.103;79.986;18.580;15.570
10/20/16 12h44min7s;18.961;80.011;18.200;15.435
10/20/16 12h59min7s;18.675;80.343;17.819;15.215
10/20/16 01h14min7s;18.628;80.891;17.891;15.266
10/20/16 01h29min7s;18.723;81.219;18.271;15.417
10/20/16 01h44min7s;18.723;81.442;18.343;15.456
10/20/16 01h59min7s;18.319;81.493;17.629;15.069
10/20/16 02h14min7s;18.247;81.756;17.724;15.044
10/20/16 02h29min7s;17.986;81.948;17.272;14.821
10/20/16 02h44min7s;17.891;82.121;17.249;14.758
10/20/16 02h59min7s;17.962;82.303;17.510;14.859
10/20/16 03h14min7s;18.057;82.379;17.629;14.966
10/20/16 03h29min7s;18.081;82.468;17.677;15.004
10/20/16 03h44min7s;18.057;82.490;17.677;14.985
10/20/16 03h59min7s;18.081;82.495;17.701;15.009
10/20/16 04h14min7s;18.033;82.457;17.558;14.956
10/20/16 04h29min7s;18.057;82.490;17.582;14.985
10/20/16 04h44min7s;18.057;82.546;17.510;14.994
10/20/16 04h59min7s;17.986;82.613;17.439;14.936
10/20/16 05h14min7s;18.081;82.689;17.701;15.042
10/20/16 05h29min7s;18.152;82.733;17.891;15.120
10/20/16 05h44min7s;18.295;82.737;18.485;15.260
10/20/16 05h59min7s;18.628;82.672;19.413;15.576
10/20/16 06h14min7s;18.937;82.630;20.198;15.872
10/20/16 06h29min7s;19.460;82.440;22.417;16.353
10/20/16 06h44min7s;19.888;81.949;22.896;16.687
10/20/16 06h59min7s;20.103;81.240;23.497;16.772
10/20/16 07h14min7s;20.936;79.304;25.647;17.237
10/20/16 07h29min7s;21.390;77.347;26.598;17.313
10/20/16 07h44min7s;22.681;73.415;30.722;17.795
10/20/16 07h59min7s;23.256;71.178;30.293;17.889
10/20/16 08h14min7s;23.280;69.971;30.041;17.656
10/20/16 08h29min7s;24.171;67.300;33.235;17.923
10/20/16 08h44min7s;24.774;64.903;33.183;17.949
10/20/16 08h59min7s;25.016;63.454;31.179;17.836
10/20/16 09h14min7s;25.162;64.422;34.045;18.205
10/20/16 09h29min7s;26.085;60.157;34.836;18.030
10/20/16 09h44min7s;26.818;58.563;37.755;18.305
10/20/16 09h59min7s;26.207;55.877;32.355;17.010
10/20/16 10h14min7s;27.481;56.157;39.516;18.276
10/20/16 10h29min7s;27.333;53.989;33.443;17.528
10/20/16 10h44min7s;28.147;50.433;38.672;17.221
10/20/16 10h59min7s;29.365;49.593;42.684;18.078
10/20/16 11h14min7s;29.340;50.106;37.921;18.217
10/20/16 11h29min7s;29.790;49.195;45.217;18.342
10/20/16 11h44min7s;30.596;45.907;44.288;17.985
10/20/16 11h59min7s;29.715;47.791;34.730;17.817
10/20/16 12h14min7s;30.091;44.140;44.812;16.908
10/20/16 12h29min7s;31.230;42.850;45.877;17.466
10/20/16 12h44min7s;30.041;44.726;35.022;17.070
10/20/16 12h59min7s;30.798;44.287;44.688;17.600
10/20/16 01h14min7s;32.150;39.650;47.875;17.057
10/20/16 01h29min7s;32.898;36.388;49.140;16.351
10/20/16 01h44min7s;31.714;40.608;36.715;17.048
10/20/16 01h59min7s;29.815;43.219;32.691;16.327
