data_pasto;tbs;ur;tgn;tpo
10/21/2016 05:14:7;19032;81538;18557;15775
10/21/2016 05:29:7;19175;81569;18961;15921
10/21/2016 05:44:7;19294;81623;19413;16047
10/21/2016 05:59:7;19508;81614;19984;16255
10/21/2016 06:14:7;19651;81533;20460;16381
10/21/2016 06:29:7;19841;81323;20793;16530
10/21/2016 06:44:7;20079;81066;21533;16717
10/21/2016 06:59:7;20317;80527;22178;16854
10/21/2016 07:14:7;20817;79618;23497;17178
10/21/2016 07:29:7;21151;78838;23689;17360
10/21/2016 07:44:7;21628;77711;25331;17615
10/21/2016 07:59:7;22776;76192;29790;18440
10/21/2016 08:14:7;23833;72905;32047;18805
10/21/2016 08:29:7;24388;69342;31868;18583
10/21/2016 08:44:7;24944;67617;33443;18734
10/21/2016 08:59:7;26085;66006;35877;19455
10/21/2016 09:14:7;27431;62903;40833;19991
10/21/2016 09:29:7;27677;61028;38840;19753
10/21/2016 09:44:7;27677;60345;37783;19578
10/21/2016 09:59:7;28369;53499;37398;18348
10/21/2016 10:14:7;27308;58326;32768;18703
10/21/2016 10:29:7;28444;57117;40978;19440
10/21/2016 10:44:7;28692;56082;39914;19385
10/21/2016 10:59:7;29815;52677;45311;19444
10/21/2016 11:14:7;29540;51260;41972;18759
10/21/2016 11:29:7;30520;50196;44442;19330
10/21/2016 11:44:7;31026;49775;45373;19662
10/21/2016 11:59:7;31816;45131;;18822
10/21/2016 12:14:7;31893;45404;43254;18987
10/21/2016 12:29:7;30394;44931;36661;17462
10/21/2016 12:44:7;31281;45134;;18337
10/21/2016 12:59:7;32433;44410;;19122
10/21/2016 13:14:7;32691;44572;48271;19414
10/21/2016 13:29:7;32124;41252;40314;17665
10/21/2016 13:44:7;32073;40479;44968;17317
10/21/2016 13:59:7;31357;43063;35931;17659
10/21/2016 14:14:7;31663;42832;41298;17850
10/21/2016 14:29:7;30874;46006;33313;18272
10/21/2016 14:44:7;29365;50271;30545;18291
10/21/2016 14:59:7;28990;53363;30545;18883
10/21/2016 15:14:7;29115;53794;33783;19126
10/21/2016 15:29:7;29140;53288;32484;19000
10/21/2016 15:44:7;28543;55554;31740;19099
10/21/2016 15:59:7;27087;59507;26818;18806
10/21/2016 16:14:7;26182;61531;25647;18469
10/21/2016 16:29:7;26061;62280;25866;18540
10/21/2016 16:44:7;25768;62906;25331;18417
10/21/2016 16:59:7;25380;63850;24871;18276
10/21/2016 17:14:7;24968;64935;24339;18141
10/21/2016 17:29:7;24677;65612;24098;18023
10/21/2016 17:44:7;24291;66901;23665;17949
10/21/2016 17:59:7;23930;67288;23328;17690
10/21/2016 18:14:7;23545;67847;22992;17447
10/21/2016 18:29:7;23208;68800;22681;17334
10/21/2016 18:44:7;22753;69578;22178;17065
10/21/2016 18:59:7;22298;71204;21676;16971
10/21/2016 19:14:7;22058;71511;21557;16805
